title,tag,weather,time,cost,copy,copy_one,copy_two,DateNumber,neighborhood,link
Spring Lounge,Bar,All,Day and Night,$$,You should...,drink at Spring Lounge in Nolita,any season you want. ,Any,M,http://thespringlounge.com/
Tippler,Bar,All,Night,$$,You should...,drink at Tippler in Chelsea,and have an underground love affair.,Any,M,http://thetippler.com/
The Wayland,Bar,All,Night,$$,You should...,have a drink at The Wayland on Avenue C,and see if the band has tambourines so you and your date can join.,Any,M,http://thewaylandnyc.com/
Tia Pol,Restaurant,All,Day and Night,$$$,You should...,eat at Tia Pol in Chelsea,"and remember, no one's perfect. ",Any,M,http://tiapol.com/
Tiny's Giant Sandwich Shop,Restaurant,All,Day and Night,$,You should...,go to Tiny's Giant Sandwich Shop on the LES,and realize every giant love started out as a tiny love. ,Any,M,http://tinysgiantnyc.tumblr.com/
Top of the Strand,Bar,Warm,Day and Night,$$$,You should...,go to the Top of the Strand rooftop bar,and tell your date the Empire State Building has its own zip code (true!),Any,M,http://topofthestrand.com/
Totto Ramen,Restaurant,All,Day and Night,$$,You should...,go to Totto Ramen in Hell's Kitchen,and prepare some conversation topics beforehand... It's a long line. ,Any,M,http://tottoramen.com/
Trailer Park Lounge,Bar,All,Day and Night,$$,You should...,have a beer at Trailer Park Lounge in Chelsea,and then bring your date back to your apartment. ,Any,M,http://trailerparklounge.com/
Record shopping @ Turntable Lab,Activity,All,Day,$,You should...,find new records at Turntable Lab in the East Village,and find out new things about each other.,2+,M,http://turntablelab.com/
Union Pool,Bar,All,Day and Night,$$,You should...,go to Union Pool in Williamsburg,and buy your date some tacos and drinks.,Any,B,http://union-pool.com/
Ear Inn,Restaurant,All,Day and Night,$$,You should...,eat at Ear Inn in Soho,"and compliment your date's earrings, if they're wearing them. ",Any,M,http://untappedcities.com/2013/08/16/history-nyc-ear-inn-soho-speakeasy/
Upstairs at the Kimberly,Bar,All,Day and Night,$$$,You should...,drink Upstairs at the Kimberly in Midtown,but not if your date's named Kimberly. Or Kim. ,Any,M,http://upstairsnyc.com/index.php
Madison square eats,Activity,Warm,Day and Night,$$,You should...,eat at Madison Square Eats,and then kiss in Madison Square Park,Any,M,http://urbanspacenyc.com/mad-sq-eats/
Vanessa's Dumplings Chinatown,Restaurant,All,Day and Night,$,You should...,go to Vanessa's Dumplings Chinatown,and ask for Vanessa. ,Any,M,http://vanessas.com/
Vanessa's Dumplings EV,Restaurant,All,Day and Night,$,You should...,go to Vanessa's Dumplings East Village,"and order some frozen dumplings to go, then deliver them to your date's apartment.",Any,M,http://vanessas.com/
Vanessa's Dumplings Williamsburg,Restaurant,All,Day and Night,$,You should...,go to Vanessa's Dumplings Williamsburg,and then hold your date like they're a chunk of pork and you're a dumpling wrapped around them. ,Any,B,http://vanessas.com/
Vbar,Bar,All,Day and Night,$$,You should...,go to Vbar in the East Village,and talk about when you lost your virginities. ,Any,M,http://vbarandcompany.com/
Veniero's,Activity,All,Day and Night,$$,You should...,go to Veniero's in the East Village,and get extra pastries for the next morning. ,Any,M,http://venierospastry.com/
Vinegar Hill House,Restaurant,All,Day and Night,$$$,You should...,eat at Vinegar Hill House,and watch your date fall more in love with you. ,2+,B,http://vinegarhillhouse.com/
Ward III,Bar,All,Day and Night,$$,You should...,have a cocktail at Ward III in Tribeca,"and if your date gets hiccups, give them your favorite cure. ",Any,M,http://ward3.com/
Warren 77,Bar,All,Day and Night,$$,You should...,have a drink at Warren 77 in Tribeca,and imagine your date's clothes on your bedroom floor. ,Any,M,http://warren77nyc.com/
Transit Museum,Activity,All,Day,$,You should...,go to the Transit Museum,and kiss in an empty subway car. ,Any,B,http://web.mta.info/mta/museum/
Whiskey Tavern,Bar,All,Day and Night,$$,You should...,go to Whiskey Tavern in Chinatown,and order whatever the hell you want. ,Any,M,http://whiskeytavernnyc.com/
Whitmans,Restaurant,All,Day and Night,$$,You should...,go to Whitman's in the East Village,and make sure you don't have any BO.,Any,M,http://whitmansnyc.com/
Wogies,Bar,All,Day and Night,$$,You should...,get a booth at Wogies in the West Village,and see if you and your date love the same Disney movies. ,Any,M,http://wogies.com/
Wo Hop,Restaurant,All,Day and Night,$$,You should...,go to Wo Hop in Chinatown,"and be your usual, charming self. ",Any,M,http://wohopnyc.com/
137 Bar and Grill,Bar,All,Day and Night,$$,You should...,go to 137 Bar and Grill in Harlem,and let your date catch you checking them out. ,Any,M,http://www.137barandgrill.com/
169 Bar,Bar,All,Day and Night,$,You should...,go to 169 Bar in Chinatown,and wear sunglasses to match the palm trees.,Any,M,http://www.169barnyc.com/cmsmadesimple/
230 Fifth,Bar,Warm,Day and Night,$$$,You should...,go to the 230 Fifth rooftop bar by Madison Square Park,and talk about what you wish your names were. ,Any,M,http://www.230-fifth.com/
61 Local,Coffee,All,Day and Night,$,You should...,get some espresso at 61 Local in Cobble Hill,and try not to trip on all the strollers. ,Any,B,http://www.61local.com/
Stargazing in Central Park,Activity,Warm,Night,Free,You should...,stargaze in Central Park,and bemoan the light pollution problem in New York. ,2+,M,http://www.aaa.org/
Stargazing in Prospect Park,Activity,Warm,Night,Free,You should...,look up at the stars in Prospect Park,and then look at each other. You're both beautiful. ,2+,B,http://www.aaa.org/
Stargazing on the Highline,Activity,Warm,Night,Free,You should...,gaze at some stars on the Highline,"and then walk, kiss, and gaze some more. ",2+,M,http://www.aaa.org/
Abraco Coffee,Coffee,All,Day,$,You should...,go to Abraco Coffee in the East Village,and do NOT fucking shake hands when you first meet. Dates hug. ,Any,M,http://www.abraconyc.com/#home
The Ainsworth,Bar,All,Day and Night,$$,You should...,get a drink at The Ainsworth in Chelsea,and then suggest you go somewhere a little quieter. ,Any,M,http://www.ainsworthnyc.com/
Museum of Natural History,Activity,All,Day,$,You should...,go to the Museum of Natural History,and build a shared history with your date. ,Any,M,http://www.amnh.org/
Hayden Planetarium,Activity,All,Day,$$,You should...,look at the stars in Hayden Planetarium,and talk about if you think there are aliens.,Any,M,http://www.amnh.org/our-research/hayden-planetarium
Ample Hills Prospect Heights,Activity,All,Day and Night,$,You should...,go to the original Ample Hills in Prospect Heights,and let your date lovingly spoon-feed you.,Any,B,http://www.amplehills.com/
Ample Hills Gowanus,Activity,All,Day and Night,$,You should...,go to Ample Hills Gowanus,and realize love is sweet. ,Any,B,http://www.amplehills.com/
Ample Hills Gotham West,Activity,All,Day and Night,$,You should...,stuff your face at Ample Hills Gotham West,and tell your date it's just as good as the original location. ,Any,M,http://www.amplehills.com/
Amy's Bread,Restaurant,All,Day and Night,$,You should...,go to Amy's Bread on Bleecker,but not if your date's named Amy. ,Any,M,http://www.amysbread.com/
Aire Ancient Baths,Activity,All,Day and Night,$$$,You should...,go to the Aire Ancient Baths,"and after you get clean, get dirty.",Dating,M,http://www.ancientbathsny.com/
Annisa,Restaurant,All,Day and Night,$$$,You should...,eat at Annisa in the West Village,"and if your date has an accent, take a second to appreciate that. ",Any,M,http://www.annisarestaurant.com/
Apotheke,Bar,All,Night,$$$,You should...,have a cocktail at Apotheke in Chinatown,and debate whether the pharmacist outfits are cool or creepy.,Any,M,http://www.apothekenyc.com/
Art Bar,Bar,All,Night,$$,You should...,go to Art Bar in the West Village,and maybe don't talk about art.,Any,M,http://www.artbar.com/
Thursday gallery openings in Chelsea,Activity,All,Night,Free,You should...,cruise the Thursday gallery openings in Chelsea,and make really pretentious comments really loudly.,Any,M,http://www.artslant.com/ny/events/list
Atlas cafe,Coffee,All,Day,$$,You should...,have coffee at Atlas Cafe in the East Village,and ask your date if they're hungry. ,Any,B,http://www.atlas-cafe.com/
Go Birding in Prospect Park,Activity,Warm,Day,$,You should...,identify birds in Prospect Park,and identify the moment when you fell for each other. ,2+,B,http://www.audubonguides.com/field-guides/bird-identification-app.html
Go Birding in Central Park,Activity,Warm,Day,$,You should...,go birding in Central Park,and make each other's hearts flutter.,2+,M,http://www.audubonguides.com/field-guides/bird-identification-app.html
Identiy Trees in Prospect Park,Activity,Warm,Day,$,You should...,ID some trees in Prospect Park,and make out leaning against one of them. ,2+,B,http://www.audubonguides.com/field-guides/trees-north-america.html
Identify Trees in Central Park,Activity,Warm,Day,$,You should...,identify trees in Central Park,and try to guess each other's favorite trees. ,2+,M,http://www.audubonguides.com/field-guides/trees-north-america.html
Azuri,Restaurant,All,Day and Night,$,You should...,go to Azuri Cafe in Hell's Kitchen,"but not on the Sabbath, because this is a legit kosher place. ",Any,M,http://www.azuricafe.com/
Bacaro,Restaurant,All,Day and Night,$$$,You should...,eat at Bacaro on the LES,and buy condoms before the date. ,Any,M,http://www.bacaronyc.com/
Bacchus,Restaurant,All,Day and Night,$$,You should...,get your French on at Bacchus in Boerum Hill,and have a night the Romans would write poems about. ,Any,B,http://www.bacchusbistro.com/
Barbuto,Restaurant,All,Day and Night,$$$,You should...,go to Barbuto in the West Village,and buy cigarettes for post-coital smoking. ,Any,M,http://www.barbutonyc.com/
Bar Great Harry,Bar,All,Day and Night,$$,You should...,go to Bar Great Harry in Gowanus,and pet the dogs in the bar before you pet each other.,Any,B,http://www.bargreatharry.com/
Battersby,Restaurant,All,Day and Night,$$$,You should...,eat at Battersby in Cobble Hill,and hope your date doesn't snore. ,Any,B,http://www.battersbybrooklyn.com/
Brooklyn Botanical Gardens,Activity,Warm,Day,$,You should...,get in touch with nature at Brooklyn Botanical Gardens,and then touch each other.,Any,B,http://www.bbg.org/
Beer Authority,Bar,All,Day and Night,$$,You should...,go to Beer Authority by Port Authority,and ask your date which authority figure they dislike most. ,Any,M,http://www.beerauthoritynyc.com/home
The Belfry,Bar,All,Night,$$,You should...,go to The Belfry on East 14th,and talk about what's the difference between a beer and a craft beer.,Any,M,http://www.belfrynyc.com/homepage.html
Benihana,Restaurant,All,Day and Night,$$,You should...,go to Benihana in Midtown,and tell the waiter it's your date's birthday. ,Any,M,http://www.benihana.com/
Bier International,Bar,All,Day and Night,$$,You should...,go to Bier International in Harlem,even if your date's American. ,Any,M,http://www.bierinternational.com/
Bierkraft,Bar,All,Day and Night,$$,You should...,go to Bierkraft in Park Slope,and talk about hobbies you wish you had. ,Any,B,http://www.bierkraft.com/
Black Rabbit,Bar,All,Day and Night,$$,You should...,get a drink at Black Rabbit in Greenpoint,and then hump like bunnies. ,Any,B,http://www.blackrabbitbarnyc.com/blackrabbitbarnyc/hme.html
Central Park Rollerblading (rent from Blades),Activity,Warm,Day,$$,You should...,go rollerblading in Central Park,and sneak a peek at your date's butt.,Any,M,http://www.blades.com/stores/
Blind Tiger,Bar,All,Day and Night,$$,You should...,drink a beer at Blind Tiger in the West Village,and only hug at the end of the date if you're OK never having sex with each other. ,Any,M,http://www.blindtigeralehouse.com/
Motherburger,Restaurant,Warm,Day and Night,$$,You should...,go to Motherburger in Midtown,and feed some pigeons to show how generous you are. ,Any,M,http://www.blockheads.com/locations.html
Blockheads Burritos Midtown West,Restaurant,Warm,Day and Night,$$,You should...,go to Blockheads Burritos Midtown West,and talk about how scary commitment is. ,Any,M,http://www.blockheads.com/locations.html
Blue Ribbon Brasserie,Restaurant,All,Night,$$$,You should...,go to Blue Ribbon Brasserie in Soho,"and if there's a lull in the conversation, that's OK. ",Any,M,http://www.blueribbonrestaurants.com/rests_brass_man_main.htm
Blue Smoke,Restaurant,All,Day and Night,$$,You should...,go to Blue Smoke BBQ,and let your date know when they get a little food on their cheek. ,Any,M,http://www.bluesmoke.com/flatiron/
Bluestone Lane,Coffee,All,Day,$,You should...,go to Bluestone Lane Coffee in FiDi,and remember to smile. ,Any,M,http://www.bluestonelaneny.com/coffee-shops/financial-district/
Surfing at Rockaway,Activity,Warm,Day,$$,You should...,go surfing at Far Rockaway,and help your date get out of their wetsuit.,Dating,N,http://www.boarderssurfshop.com/
Bobwhite Lunch and Supper Counter,Restaurant,All,Day and Night,$$,You should...,go to Bobwhite Lunch and Supper Counter,and don't think about the possibility your date has bed bugs. ,Any,M,http://www.bobwhitecounter.com/
BondST,Restaurant,All,Night,$$$,You should...,eat at BondST,and press the emergency stop button in the elevator so you can make out in private. ,Any,M,http://www.bondstrestaurant.com/
Bondurants,Bar,All,Day and Night,$$,You should...,have a beer at Bondurants on the Upper East,and pronounce the name wrong so your date knows you're not pretentious. ,Any,M,http://www.bondurantsnyc.com/home
Boobie Trap,Bar,All,Day and Night,$,You should...,down some suds at Boobie Trap in Bushwick,and don't make any immature jokes. ,Any,B,http://www.boobietrapbrooklyn.com/
Bowery Ballroom,Activity,All,Night,$$,You should...,catch an act at Bowery Ballroom,and sway to the music together.,2+,M,http://www.boweryballroom.com/
Bowling @ Lucky Strike,Activity,All,Night,$$,You should...,dress up for bowling at Lucky Strike,and then take off those dressy clothes later.,Any,M,http://www.bowlluckystrike.com/locations/new-york/nyc/
Brandy Library,Bar,All,Night,$$$,You should...,go to Brandy Library in Tribeca,and try to take out a book.,Any,M,http://www.brandylibrary.com/
Brooklyn Bowl (for music),Activity,All,Night,$$,You should...,go see a show at Brooklyn Bowl,and be the dancing couple other couples are jealous of. ,2+,B,http://www.brooklynbowl.com/
Brooklyn Bowl (for bowling),Activity,All,Night,$$,You should...,go to Brooklyn Bowl for the bowling,and your date idea will be a perfect 10. ,Any,B,http://www.brooklynbowl.com/
Volleyball on Pier 6,Activity,Warm,Day and Night,$,You should...,play volleyball on Pier 6 in Brooklyn Bridge Park,and develop some set-spike chemistry.,2+,B,http://www.brooklynbridgepark.org/activities/volleyball
Kayaking @ Pier 2,Activity,Warm,Day,Free,You should...,go kayaking at Pier 2 in Brooklyn Bridge Park,and rub in each other's sunscreen.,2+,B,http://www.brooklynbridgepark.org/events/public-kayaking
Roller skating at Brooklyn Bridge Park,Activity,Warm,Day and Night,$$,You should...,go roller skating at Pier 2 in Brooklyn Bridge Park,and hold hands while you do laps.,Any,B,http://www.brooklynbridgeskating.com/
Cyclones,Activity,Warm,Day,$,You should...,go to a Brooklyn Cyclones game,and kiss during the seventh inning stretch.,Any,B,http://www.brooklyncyclones.com/home/
Brooklyn Ice Cream Factory,Activity,Warm,Day and Night,$,You should...,go to Brooklyn Ice Cream Factory,"and scream for ice cream, then maybe later scream with pleasure. ",Any,B,http://www.brooklynicecreamfactory.com/
Brother Jimmy's in Murray Hill,Restaurant,All,Day and Night,$$,You should...,take your date to Brother Jimmy's in Murray Hill,if you never want to see your date again. ,Any,M,http://www.brotherjimmys.com/
Brucie,Restaurant,All,Day and Night,$$,You should...,get Italian at Brucie in Cobble Hill,and forget about everything else for a couple hours. ,Any,B,http://www.brucienyc.com/
Bubby's,Restaurant,All,Day and Night,$$,You should...,go to Bubby's in Tribeca,and make your date a little nervous. ,Any,M,http://www.bubbys.com/
Burger & Barrel,Restaurant,All,Day and Night,$$,You should...,go to Burger & Barrel on Houston,and talk about social media. ,Any,M,http://www.burgerandbarrel.com/
Burger Joint,Restaurant,All,Day and Night,$$,You should...,go to Burger Joint in Le Parker Meridien,and make an awkward joke about getting a room at the hotel.,Any,M,http://www.burgerjointny.com/56thstreet
Burger One,Restaurant,All,Day and Night,$,You should...,go to Burger One on UES,and talk about space. ,Any,M,http://www.burgeronenyc.com/
Burke & Wills,Bar,All,Day and Night,$$,You should...,have a cocktail at Burke & Wills on the Upper West,and share stories of the last time you went streaking. ,Any,M,http://www.burkeandwillsny.com/
Bushwick Country Club,Bar,Warm,Night,$,You should...,have a beer at Bushwick Country Club,and get competitive at mini golf. ,Any,B,http://www.bushwickcountryclub.com/
Buttermilk Channel,Restaurant,All,Day and Night,$$,You should...,go to Buttermilk Channel in Carroll Gardens,and talk about what shows would be shown on the Buttermilk Channel. ,Any,B,http://www.buttermilkchannelnyc.com/
Cafe Cortadito,Restaurant,All,Day and Night,$$,You should...,eat at Cafe Cortadito in Alphabet City,and then do drugs with your date. ,Any,M,http://www.cafecortadito.com/
Cafe Gitane,Restaurant,All,Day and Night,$$,You should...,go to Cafe Gitane on Mott Street,and be honest about where you see this going. ,Any,M,http://www.cafegitanenyc.com/
Cafe Habana,Restaurant,All,Day and Night,$$,You should...,go to Cafe Habana in Nolita,and don't talk about ex-lovers. ,Any,M,http://www.cafehabana.com/
Camp,Bar,All,Day and Night,$$,You should...,go to Camp (a bar) in Boerum Hill,and then have a sleepover with your date.,Any,B,http://www.camp-brooklyn.com/contact.html
Caracas Arepa Bar,Restaurant,All,Day and Night,$$,You should...,go to Caracas Arepa Bar in the East Village,and discuss your dream wedding. ,Any,M,http://www.caracasarepabar.com/
Carolines,Activity,All,Night,$$$,You should...,catch a show at Carolines Comedy Club,and keep laughing even after you leave.,2+,M,http://www.carolines.com/
Casablanca Grill,Restaurant,All,Day and Night,$,You should...,go to Casablanca Grill on UES,and push your date up against a wall to kiss them. ,Any,M,http://www.casablancagrillnyc.com/
Casellula,Restaurant,All,Day and Night,$$,You should...,eat at Casellula in Hell's Kitchen,and find something you and your date don't agree on. ,Any,M,http://www.casellula.com/
Central Park Summerstage,Activity,Warm,Night,$,You should...,go to Central Park Summerstage,and appreciate the tax-subsidized performances.,Any,M,http://www.centralpark.com/guide/attractions/summerstage.html
Picnic in Central Park,Activity,Warm,Day,Free,You should...,have a picnic in Central Park,and then roll around on top of the blanket.,Any,M,http://www.centralparknyc.org/
Chelsea Piers driving range,Activity,Warm,Day and Night,$$,You should...,go to the driving range at Chelsea Piers,and have a friendly distance competition.,Any,M,http://www.chelseapiers.com/gc/
Cienfuegos,Restaurant,All,Day and Night,$$$,You should...,eat at Cienfuegos on Avenue A,and it's OK if your date makes you nervous. ,Any,M,http://www.cienfuegosny.com/Cienfuegos.html
City Winery Concert,Activity,All,Night,$$,You should...,go to a concert at City Winery in SoHo,and feel that sweater? It's made of boyfriend material.,Any,M,http://www.citywinery.com/newyork/
Comedy Cellar,Activity,All,Night,$$,You should...,catch a show at the Comedy Cellar,and laugh at all the same jokes.,2+,M,http://www.comedycellar.com/
Congee Village,Restaurant,All,Day and Night,$$,You should...,eat Cantonese at Congee Village on LES,and ask about where your date grew up. ,Any,M,http://www.congeevillagerestaurants.com/
Cookshop,Restaurant,All,Day,$$$,You should...,eat at Cookshop in Chelsea,"and then walk on the highline, hand in hand. ",Any,M,http://www.cookshopny.com/
Cosme,Restaurant,All,Day and Night,$$$,You should...,eat at Cosme on 21st Street,and don't laugh at your own jokes. ,Any,M,http://www.cosmenyc.com/
Chalk graffiti,Activity,Warm,Day and Night,Free,You should...,graffiti some sidewalks with chalk,and then watch people stop and admire your handiwork.,2+,"M, B",http://www.crayola.com/
Crif Dogs,Restaurant,All,Day and Night,$,You should...,go to Crif Dogs in the East Village,and agree ahead of time to wear embarrassing outfits. ,Any,M,http://www.crifdogs.com/
Crif Dogs Williamsburg,Restaurant,All,Day and Night,$,You should...,go to Crif Dogs Williamsburg,and then do hot dog stuff later.,Any,B,http://www.crifdogs.com/
Cubana Social,Bar,All,Day and Night,$,You should...,go to Cubana Social in Williamsburg,and make plans to fly to Cuba with your date. ,Any,B,http://www.cubanasocial.com/
Culture Espresso,Coffee,All,Day,$,You should...,go to Culture Espresso in Midtown,and pay for your date's espresso. ,Any,M,http://www.cultureespresso.com/
Currant Cafe,Coffee,All,Day,$,You should...,get coffee at Currant Cafe in Bushwick,and share your travel fantasy lists. ,Any,B,http://www.currantcafe.com/
Daddy Greens,Restaurant,All,Day and Night,$,You should...,go to Daddy Green's Pizza in Bed-Stuy,"and by the end of the night, one of you could be calling the other Daddy. ",Any,B,http://www.daddygreenspizzabk.com/
Daddy O,Bar,All,Day and Night,$$,You should...,have a drink at Daddy O in the West Village,and then hopefully you'll see your date's O face. ,Any,M,http://www.daddyonyc.com/
Daily Press,Coffee,All,Day,$,You should...,go to Daily Press in Bed-Stuy,and split a cookie with your date. ,Any,B,http://www.dailypresscoffee.com/
D'Amore Wine Bar,Bar,All,Day and Night,$$,You should...,go to D'Amore Wine Bar in Harlem,and drink like a Roman in a vomitorium. ,Any,M,http://www.damorewinebar.nyc/
Dance class @ Dance Connection,Activity,All,Day and Night,$$,You should...,take a dance class at Dance Connection in Brooklyn,and move your hips together.,2+,B,http://www.danceconnectionnyc.com/
Dance class @ Dance manhattan,Activity,All,Day and Night,$$,You should...,take a dance class at Dance Manhattan,"and pop, lock and drop it. ",2+,M,http://www.dancemanhattan.com/
Sushi Azabu,Restaurant,All,Day and Night,$$$,You should...,go to Sushi Azabu in Tribeca,and don't judge your date on where they went to school. ,Any,M,http://www.darumaya-nyc.com/sushiazabu/
Dave & Busters,Activity,All,Day and Night,$$,You should...,play arcade games at Dave & Buster's Times Square,and talk about your childhoods.,Any,M,http://www.daveandbusters.com/locations/StoreInformation.aspx?StoreId=50
Brushstroke,Restaurant,All,Day and Night,$$$,You should...,eat at Brushstroke in Tribeca,and gently brush the hair out of your eyes mid-conversation. ,Any,M,http://www.davidbouley.com/brushstroke-main/
Dead Rabbit,Bar,All,Day and Night,$$,You should...,have a drink at Dead Rabbit in FiDi,"and make eye contact, then look away, then look back. ",Any,M,http://www.deadrabbitnyc.com/
BrisketTown,Restaurant,All,Day and Night,$$,You should...,go to BrisketTown in Williamsburg,and stuff your face before you stuff each other. ,Any,B,http://www.delaneybbq.com/
dell'anima,Restaurant,All,Day and Night,$$$,You should...,get Italian at dell'anima in the West Village,and admit your fear of commitment. ,Any,M,http://www.dellanima.com/
Di Fara,Restaurant,All,Day,$$,You should...,get pizza at Di Fara in Midwood,and call ahead so you don't make your date wait.,Any,B,http://www.difara.com/
Dining Room,Bar,All,Day and Night,$$,You should...,go to the bar called Dining Room in Downtown Brooklyn,and don't eat anything.,Any,B,http://www.diningroombrooklyn.com/
Dino BBQ Harlem,Restaurant,All,Day and Night,$$,You should...,go to Dinosaur BBQ Harlem,"and dig up a bone later that night, if you know what I mean. ",Any,M,http://www.dinosaurbarbque.com/
Dino BBQ Brooklyn,Restaurant,All,Day and Night,$$,You should...,go to Dino BBQ Brooklyn,and then hump like you're about to go extinct. ,Any,B,http://www.dinosaurbarbque.com/
Dive Bar,Bar,All,Day and Night,$$,You should...,go to Dive Bar on the Upper West,and laugh with your date about the name. ,Any,M,http://www.divebarnyc.com/
Donna Bell's Bake Shop,Restaurant,All,Day and Night,$$,You should...,go to Donna Bell's Bake Shop in Hell's Kitchen,and try to find your date's tonsils with your tongue. ,Any,M,http://www.donnabellsbakeshop.com/
Dos Toros West Village,Restaurant,All,Day and Night,$,You should...,get burritos at Dos Toros West Village,and then mate like two gay bulls. ,Any,M,http://www.dostoros.com/
Kayaking @ Pier 26,Activity,Warm,Day,Free,You should...,go kayaking at Pier 26 on the west side,and bump your kayaks against each other.,2+,M,http://www.downtownboathouse.org/
Ducks,Restaurant,All,Day and Night,$$,You should...,go to Ducks Eatery in the East Village,and maintain eye contact. ,Any,M,http://www.duckseatery.com/
DuMont Burger,Restaurant,All,Day and Night,$$,You should...,go to Dumont Burger in Williamsburg,"and tell your date damn, they look good. ",Any,B,http://www.dumontburger.com/
Earl's Beer & Cheese,Bar,All,Day and Night,$$,You should...,go to Earl's Beer & Cheese in East Harlem,"and relax, the cheese isn't actually from Earl's body. ",Any,M,http://www.earlsny.com/
La Birreria,Bar,Warm,Day and Night,$$,You should...,have a beer at La Birreria above Eatly,and act like you're sooooo above Eataly.,Any,M,http://www.eataly.com/
Eataly,Restaurant,All,Day and Night,$$$,You should...,go to Eataly,and laugh at everyone. ,Any,M,http://www.eataly.com/
Cooking class at eataly,Activity,All,Night,$$$,You should...,take a cooking class at Eataly,and get competitive about your cooking. ,2+,M,http://www.eataly.com/nyc-school/
Economy Candy,Activity,All,Day,$,You should...,go to Economy Candy,and tell your date they're sweet. ,Any,M,http://www.economycandy.com/
Egg,Restaurant,All,Day,$$,You should...,eat at Egg in Williamsburg,and then don't get pregnant. ,Any,B,http://www.eggrestaurant.com/
Egg Shop,Restaurant,All,Day and Night,$,You should...,eat at Egg Shop on LES,but don't let sperm touch egg. ,Any,M,http://www.eggshopnyc.com/
El Quinto Pino,Restaurant,All,Day and Night,$$,You should...,get tapas at El Quinto Pino in Chelsea,"and bring your date a gift, even if it's small. ",Any,M,http://www.elquintopinonyc.com/
Emack and Bolio's UES,Activity,All,Day and Night,$,You should...,eat ice cream at Emack and Bolio's UES,and go for a walk after. ,Any,M,http://www.emackandbolios.com/
Emack and Bolio's UWS,Activity,All,Day and Night,$,You should...,get an ice cream cone Emack and Bolio's UWS,but not if your date's lactose intolerant. ,Any,M,http://www.emackandbolios.com/
Employees Only,Bar,All,Night,$$$,You should...,have a cocktail at Employees Only in the West Village,and only talk in Prohibition-era accents.,Any,M,http://www.employeesonlynyc.com/
Top of ESB,Activity,Warm,Day and Night,$$,You should...,go sightseeing on top of the Empire State Building,and have your own Sleepless in Seattle moment. ,Any,M,http://www.esbnyc.com/
Esperanto,Restaurant,All,Day and Night,$$,You should...,eat at Esperanto on Avenue C,"and if you have dandruff, don't wear black. ",Any,M,http://www.esperantony.com/
La Esquina,Restaurant,Warm,Day and Night,$,You should...,go to La Esquina in Soho,and get the same order. ,Any,M,http://www.esquinanyc.com/
La Esquina Brasserie,Restaurant,All,Day and Night,$$$,You should...,eat at La Esquina Brasserie,and have your own Goodfellas moment when you walk in.,Any,M,http://www.esquinanyc.com/
Everyman Espresso,Coffee,All,Day,$,You should...,go to Everyman Espresso near Union Square,"and make good, deep, long eye contact. ",Any,M,http://www.everymanespresso.com/
Extra Fancy,Bar,All,Day and Night,$$,You should...,eat crabs and drink beers at Extra Fancy in Williamsburg,but don't worry. It's not that fancy. ,Any,B,http://www.extrafancybklyn.com/
Fat Cat,Activity,All,Day and Night,$,You should...,go to Fat Cat in the West Village,"and hope your date doesn't have a cat back at their apartment, because that sucks. ",Any,M,http://www.fatcatmusic.org/
Four Freedoms Park,Activity,Warm,Day,Free,You should...,take the F to Four Freedoms Park on Roosevelt Island,and enjoy the romance of the NYC skyline. ,Any,N,http://www.fdrfourfreedomspark.org/
Fedora,Restaurant,All,Day and Night,$$$,You should...,go to Fedora in the West Village,but don't wear one. ,Any,M,http://www.fedoranyc.com/
Felice64,Bar,All,Day and Night,$$$,You should...,drink wine at Felice64 on the Upper East,and remember wine bars are actually pretty cool.,Any,M,http://www.felice64.com/
Flatiron Hall,Bar,All,Day and Night,$$,You should...,drink at Flatiron Hall,and talk about what life must have been like when the Flatiron Building was the tallest in the world. ,Any,M,http://www.flatironhall.com/
Flex Mussels,Restaurant,All,Day and Night,$$$,You should...,eat at Flex Mussels in the West Village,and ask your date to describe their ideal home. ,Any,M,http://www.flexmussels.com/
Floyd,Bar,All,Day and Night,$$,You should...,get a beer at Floyd in Brooklyn Heights,and play with some bocce balls.,Any,B,http://www.floydny.com/
Flute,Bar,All,Night,$$$,You should...,have a drink at Flute in Gramercy,and ask your date if they play a musical instrument. ,Any,M,http://www.flutebar.com/
Make your own pizza,Activity,All,Day and Night,$,You should...,make your own pizza at home,and then eat it. ,Dating,"M, B",http://www.foodnetwork.com/recipes/emeril-lagasse/make-your-own-pizzas-recipe.html
Fool's Gold,Bar,All,Day and Night,$$,You should...,have a craft beer at Fool's Gold on the LES,and pay in dollars. ,Any,M,http://www.foolsgoldnyc.com/
Forrest Point,Bar,All,Day and Night,$$,You should...,drink a drink at Forrest Point in Bushwick,and have a Forrest Gump quoting contest. ,Any,B,http://www.forrestpoint.com/
Fort Defiance,Coffee,All,Day,$,You should...,get coffee at Fort Defiance in Red Hook,and defy social norms by kissing at the start of the date. ,Any,B,http://www.fortdefiancebrooklyn.com/
Fort Defiance,Bar,All,Day and Night,$$,You should...,have a cocktail at Fort Defiance in Red Hook,and let the tiki torches light your fire.,Any,B,http://www.fortdefiancebrooklyn.com/
Bowling @ Frames,Activity,All,Night,$$,You should...,get fancy for bowling at Frames,and marvel at how good your date looks when they get a strike. ,Any,M,http://www.framesnyc.com/
